[0119/202829.499:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files%20(x86)/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0119/203120.503:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203125.511:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203130.515:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203135.536:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203140.549:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203145.552:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203150.568:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203155.590:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203200.601:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203205.616:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203210.635:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203215.652:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203220.666:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203225.679:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203230.689:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203235.700:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203240.723:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203245.738:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203250.757:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203255.782:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203300.795:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203305.812:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203310.824:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203315.832:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203320.841:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203325.860:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203330.883:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203335.890:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203340.909:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203345.920:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203350.933:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203355.951:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203400.955:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203405.969:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203410.982:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203416.005:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203421.013:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203426.030:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203431.044:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203436.060:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203441.073:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203446.083:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0119/203451.098:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
